feature,importance
is_documentary,0.22643209
runtime_standard,0.082191646
is_thriller,0.04455241
very_negative,0.031178635
company_hallmark_media,0.023593364
is_drama,0.022119887
company_toho,0.019622248
runtime,0.017408904
is_romance,0.017299093
production_company_count,0.016825028
genre_count,0.016300123
runtime_epic,0.014773749
decade_2010.0,0.014603903
has_audience_score,0.014515559
cast_count,0.014337315
budget_log,0.014280226
budget,0.01426854
has_critic_score,0.014115555
runtime_short,0.013907197
release_year,0.012010682
is_us_production,0.011673548
production_country_count,0.011406556
budget_blockbuster,0.0113547975
has_budget,0.010886128
has_rt_url,0.010626022
has_director,0.010486989
engagement_very_low,0.0102795
very_positive,0.0088975625
sentiment_negative,0.008826296
has_cast,0.008707251
budget_micro,0.008102315
like_rate,0.007920192
is_comedy,0.007866268
company_arte,0.007714269
decade_2020.0,0.007477149
company_marvista_entertainment,0.0073901764
likes_exp_decay_30,0.007366641
like_count,0.0073367236
director_count,0.0072890953
company_ard,0.0070212716
likes_per_day,0.0069073397
company_france_3_cinéma,0.006561557
engagement_low,0.0065485216
budget_medium,0.006335169
budget_low,0.0063077705
view_count,0.0062755058
views_recency_weighted,0.006121198
company_lifetime,0.0060904687
comment_count,0.0060784006
comment_rate,0.0060516815
views_exp_decay_30,0.0059500937
sentiment_magnitude,0.005778451
is_holiday_release,0.0057358965
company_universal_pictures,0.0056917695
sentiment_strength,0.0056006694
company_lionsgate,0.0054297685
company_france_2_cinéma,0.005428215
views_per_day,0.0053682756
sentiment_positive,0.0053198985
likes_recency_weighted,0.0053031235
engagement_high,0.0052929795
company_arte_france_cinéma,0.0049954476
company_canal,0.004995304
release_month,0.0048228204
company_rai_cinema,0.0047750673
budget_high,0.004724452
runtime_long,0.0047190846
release_quarter,0.0044012293
is_summer_release,0.004340535
company_reel_one_entertainment,0.004126015
engagement_medium,0.0041009793
runtime_marathon,0.0038381286
company_zdf,0.0030192593
has_trailer_data,0.0
engagement_viral,0.0
