id,title,release_date,runtime,vote_count,vote_average,overview,genres,production_companies,production_countries,cast,directors,poster_url,trailer_url,movieURL
27205,Inception,2010-07-15,148,38129,8.37,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","Action, Science Fiction, Adventure","Legendary Pictures, Syncopy, Warner Bros. Pictures","United Kingdom, United States of America","Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite",Christopher Nolan,https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,https://www.youtube.com/watch?v=cdx31ak4KbQ,https://www.rottentomatoes.com/m/inception
11324,Shutter Island,2010-02-14,138,24985,8.201,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.","Drama, Thriller, Mystery","Paramount Pictures, Phoenix Pictures, Sikelia Productions, Appian Way",United States of America,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams, Emily Mortimer, Patricia Clarkson, Jackie Earle Haley, Ted Levine, John Carroll Lynch",Martin Scorsese,https://image.tmdb.org/t/p/w500/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg,https://www.youtube.com/watch?v=qdPw9x9h5CY,https://www.rottentomatoes.com/m/1198124-shutter_island
58496,Senna,2010-10-07,106,1122,8.11,"The remarkable story of Brazilian racing driver Ayrton Senna, charting his physical and spiritual achievements on the track and off, his quest for perfection, and the mythical status he has since attained, is the subject of Senna, a documentary feature that spans the racing legend's years as an F1 driver, from his opening season in 1984 to his untimely death a decade later.",Documentary,"Universal Pictures, StudioCanal, Working Title Films, Midfield Films","United Kingdom, United States of America, France","Ayrton Senna, Alain Prost, Frank Williams, Ron Dennis, Viviane Senna, Milton da Silva, Neyde Senna, Jackie Stewart, Sid Watkins, Galvão Bueno",Asif Kapadia,https://image.tmdb.org/t/p/w500/nZbLCbRoP6iJq5sr8daHQzjnzFh.jpg,https://www.youtube.com/watch?v=sfosF-ZAbR4,https://www.rottentomatoes.com/m/senna
46738,Incendies,2010-09-17,131,3044,8.1,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.","Drama, War, Mystery","TS Productions, Phi Group, micro_scope","Canada, France","Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Rémy Girard, Allen Altman, Abdelghafour Elaaziz, Dominique Briand, Frédéric Paquet, Ahmad Massad, John Dunn-Hill",Denis Villeneuve,https://image.tmdb.org/t/p/w500/yH6DAQVgbyj72S66gN4WWVoTjuf.jpg,https://www.youtube.com/watch?v=XJ69WnwvZhE,https://www.rottentomatoes.com/m/incendies
43949,Flipped,2010-08-06,89,3200,8.0,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.","Romance, Drama","Reiner / Greisman Productions, Castle Rock Entertainment",United States of America,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney, Penelope Ann Miller, Aidan Quinn, Kevin Weisman, Morgan Lily, Ryan Ketzner",Rob Reiner,https://image.tmdb.org/t/p/w500/6zDYFigohwncqFL00MKbFV01dWb.jpg,https://www.youtube.com/watch?v=aXeJ8NM7c9g,https://www.rottentomatoes.com/m/flipped
10191,How to Train Your Dragon,2010-03-18,98,13850,7.9,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.","Fantasy, Adventure, Animation, Family",DreamWorks Animation,United States of America,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig, Robin Atkin Downes, Philip McGrade","Chris Sanders, Dean DeBlois",https://image.tmdb.org/t/p/w500/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,https://www.youtube.com/watch?v=KZtbJ_I9IFM,https://www.rottentomatoes.com/m/how_to_train_your_dragon
33602,Temple Grandin,2010-02-06,108,515,7.8,"A biopic of Temple Grandin, an autistic American who has become one of the leading scientists in humane livestock handling.","Drama, History","HBO Films, Ruby Films",United States of America,"Claire Danes, David Strathairn, Barry Tubb, Melissa Farman, Charles Baker, Blair Bomar, Cherami Leigh, Tamara Jolaine, Julia Ormond, David Born",Mick Jackson,https://image.tmdb.org/t/p/w500/gQhQ6yEkUkDDo1zugpq46PJN8xZ.jpg,https://www.youtube.com/watch?v=cpkN0JdXRpM,https://www.rottentomatoes.com/m/temple_grandin
10193,Toy Story 3,2010-06-16,102,15240,7.802,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","Animation, Family, Comedy",Pixar,United States of America,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn, John Ratzenberger, Estelle Harris, Blake Clark, Jeff Pidgeon, Ned Beatty",Lee Unkrich,https://image.tmdb.org/t/p/w500/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,https://www.youtube.com/watch?v=2BlMNH1QTeE,https://www.rottentomatoes.com/m/toy_story_3
49797,I Saw the Devil,2010-08-12,144,2822,7.796,"Kyung-chul is a dangerous psychopath who kills for pleasure. Soo-hyeon, a top-secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take vengeance against the killer, even if it means that he must become a monster himself.","Thriller, Horror","Softbank Ventures, Peppermint & Company, Siz Entertainment, Finecut, Michigan Venture Capital, Showbox, CJ Investment",South Korea,"Lee Byung-hun, Choi Min-sik, Jeon Kuk-hwan, Cheon Ho-jin, Oh San-ha, Kim Yoon-seo, Nam Bo-ra, Lee Jun-hyuk, Yoon Chae-yeong, Choi Moo-seong",Kim Jee-woon,https://image.tmdb.org/t/p/w500/zp5NrmYp80axIGiEiYPmm1CW6uH.jpg,https://www.youtube.com/watch?v=uXIx5cxrvDs,https://www.rottentomatoes.com/m/i_saw_the_devil_2010
40662,Batman: Under the Red Hood,2010-07-27,75,1673,7.747,"One part vigilante, one part criminal kingpin, Red Hood begins cleaning up Gotham with the efficiency of Batman, but without following the same ethical code.","Mystery, Crime, Animation","Warner Bros. Animation, DC, Warner Premiere",United States of America,"Bruce Greenwood, Jensen Ackles, Neil Patrick Harris, Jason Isaacs, John DiMaggio, Wade Williams, Carlos Alazraqui, Robert Clotworthy, Gary Cole, Brian George",Brandon Vietti,https://image.tmdb.org/t/p/w500/7lmHqHg1rG9b4U8MjuyQjmJ7Qm0.jpg,https://www.youtube.com/watch?v=EcFghlzjEak,https://www.rottentomatoes.com/m/batman_under_the_red_hood
