id,title,release_date,budget,runtime,vote_average,overview,genres,keywords,production_companies,production_countries,cast,directors,producers,poster_url,trailer_url
1488690,Elementary Genocide 2,2015-09-25,0,87,10.0,"Rahiem Shabazz continues the conscience-raising dialogue generated by his acclaimed documentary Elementary Genocide: The School To Prison Pipeline with his equally hard-hitting Elementary Genocide 2: The Board of Education vs The Board of Incarceration.  The Board of Education vs The Board of Incarceration uncovers the true purpose of today’s educational system and how it’s failing the African child. Going beyond the school-to-prison pipeline headlines and conspiracy theories, The Board of Education Vs. The Board of Incarceration proves that something sinister is afloat by digging deep to explore its origin, its existence and how to plot its destruction to save every Black child.",Documentary,"prison, education, school, mass incarceration, foundational black american","Rasha Entertainment, Rasha Vision Film",United States of America,"Dr. Umar Johnson, Boyce Watkins, Tracey D. Syphax, Ed Garnes",Rahiem Shabazz,,https://image.tmdb.org/t/p/w500/pwWTE9uxiXpuMidXSgRiGV2gng6.jpg,https://www.youtube.com/watch?v=bakUF0MPuN0
792046,East of Main Street: Taking the Lead,2015-05-01,0,41,10.0,The acclaimed documentary series East of Main Street returns with a celebration of Asian Americans working in the film and television industries.,Documentary,,HBO,United States of America,"Melanie Chandra, Tobias Christian Wong, Michelle Goike, Daniel Dae Kim, Nivedita Kulkarni, Raymond J. Lee, Lucy Liu, Aasif Mandvi, Dennis Oh, Veronica Reyes-How",Jonathan Yi,Jonathan Yi,https://image.tmdb.org/t/p/w500/wbbZXja4UgitOEKYxZHAttK47VF.jpg,https://www.youtube.com/watch?v=Ugn4uV3dKnk
426566,Wedgerino,2015-06-21,0,77,10.0,Two best friends' friendship is put to the test when they decide to enter the boxing ring to raise money to pay rent.,Comedy,,"Apostrophe Ron, Kozak Films",United States of America,"Kenny Zimlinghaus, Aaron Wertheimer, Anthony Mascorro, Julie Mann, Dave Rosinsky, Kate Villanova, Vanessa Altshuler, Rebecca Balmer, Judah McFadden, Brian Jolles",Aaron Wertheimer,"Min Soo Elle Kim, Rachel Whelan",https://image.tmdb.org/t/p/w500/AukVyjAZMn7IMjdmOFwBvOFn3Uc.jpg,https://www.youtube.com/watch?v=3tghCzqQZdE
378795,UnSlut: A Documentary Film,2015-07-22,0,39,10.0,"In 2013, seventeen-year-old Rehtaeh Parsons took her own life. The Halifax teenager had been gang-raped a year and a half earlier by her classmates and labeled a ""slut"" as a result. Despite transferring schools many times, she could not escape constant cyber harassment and in-person bullying. Rehtaeh's is not the only story like this to make headlines in recent years. Why is the sexual shaming of girls and women, including sexual assault victims, still so prevalent in the United States and Canada?",Documentary,,The Unslut Project,"Canada, United States of America","Njaila Rhee, Gina Tron, Mick Foley",Emily Lindin,"Emily Lindin, Jessica Caimi",https://image.tmdb.org/t/p/w500/djP1ZylLa3XqFbc5LVMHBCG6yPX.jpg,https://www.youtube.com/watch?v=ZXvh9c79gqg
333505,Coming Home,2015-10-30,0,86,10.0,A wrongly convicted father comes home after thirteen years in prison to discover that his real battle is building a relationship with his daughter.,Documentary,"ex-con, wrongful conviction","Samson Films, Welcome Home Pictures, Fís Éireann/Screen Ireland","United States of America, Ireland","Angel Cordero, Sarah Cordero, Dario Rodriguez",Viko Nikci,"Viko Nikci, David Collins",https://image.tmdb.org/t/p/w500/dwm7gYF8ztJKWixyLYWu88gObe0.jpg,https://www.youtube.com/watch?v=107865221
364078,The Boy from Geita,2015-04-25,0,79,9.2,"Adam, a young Tanzanian boy persecuted because of his albinism, finds a kindred spirit in Peter, a Canadian man with the same condition. Together they embark on an unlikely journey that transcends cultures and continents.","Drama, Documentary",,Sepia Films,"Tanzania, Canada","Adam Robert, Peter Ash",Vic Sarin,,https://image.tmdb.org/t/p/w500/7ztKnSIDdWWm7iPhE1F7MCnwJYs.jpg,https://www.youtube.com/watch?v=GfjrHbpVswI
482713,The Abundance Factor,2015-09-08,0,93,9.0,The Abundance Factor Takes You On An Unprecedented Journey into The Minds of The Worlds Most Knowledgeable Experts on the Subject of Abundance and Prosperity.,Documentary,"self-help, positive thinking","Mapmaker Studio, Genetic Code Pictures",United States of America,"Vishen Lakhiani, John Assaraf, Shawn Achor, T. Harv Eker, Carol Tuttle, Lynne McTaggart, Margaret Lynch, Sonia Ricotti, Joe Vitale, Mindie Kniss","Riley Dayne, Waymon Boone",Elaine Carmody,https://image.tmdb.org/t/p/w500/7y2J284VrFC5Vam72caq2wT5YEX.jpg,https://www.youtube.com/watch?v=votLBYSEWns
464917,Michael McIntyre's Easter Night at the Coliseum,2015-04-12,0,60,9.0,"The UK's top comedian Michael McIntyre hosts a jam-packed night of entertainment and variety from London's largest theatre, the stunning Coliseum.  In this Easter special, Michael presents the world's leading comedians, music superstars and jaw-dropping speciality acts as well as his own record-breaking comic talents.  Michael says: ""When I heard the BBC were making a show called Michael McIntyre's Easter Night At The Coliseum, I knew I had to be involved. The London Coliseum is a truly magnificent theatre and I will be hosting an array of talent befitting this magnificent venue. This will be a true variety show for all the family to enjoy. I can't wait...""","Comedy, Music",,BBC,United Kingdom,"Michael McIntyre, Bill Bailey, Eddie Izzard, Catherine Tate, Raffi Arto, Sia, Mat Franco, Ella Henderson",Chris Howe,"Ed Daggett, Christian Fletcher",https://image.tmdb.org/t/p/w500/jzBDiXAcxPPjs8Kx1vbkd4uEeeJ.jpg,https://www.youtube.com/watch?v=MBOagRnihdQ
403325,Nasty,2015-10-13,0,15,9.0,It's 1982. Twelve-year old Doug is drawn into the lurid world of VHS horror as he explores the mysterious disappearance of his father.,Horror,"gore, tribute, homage",Soul Rebel Films,United Kingdom,"Albie Marber, Madeleine Hutchins, Kimberly Adams, Joanne Gale, Jo Dyson, Shabdam Bailey-Bond, Jamie Andrew Cutler",Prano Bailey-Bond,"Meghna Gupta, Helen Mullane",https://image.tmdb.org/t/p/w500/hx3TDBtvniR5BIprtKFeoblEJnx.jpg,https://www.youtube.com/watch?v=fH_Ojf36GNY
334294,Africa Fusion,2015-03-31,0,52,9.0,"Alex Honnold and Hazel Findlay head to Southern Africa for an experience of a lifetime. Africa Fusion takes us from the breathtaking orange granite and vast landscapes of Namibia, through the desert and across to lush red sandstone of Waterval Boven in South Africa. Carrying on the journey in South Africa we follow Alex and Hazel North to the wild and remote Blouberg (Blue Mountain) range.  From the North we then journey far South to Cape Town, where Alex and Hazel explore a city crowned in mountains, from rock face to rock face. Their odyssey reveals surprising treasures and world-class climbing – while experiencing the joy of the journey along the way. Join them as they uncover these hidden gems in unforgettable settings.","Adventure, Documentary","south africa, climbing, bouldering, rock climbing, trad climbing, sport climbing, escalade, التسلق",Fresh Rock Films,United States of America,"Alex Honnold, Hazel Findlay, Alard Hufner, Andrew Pedley, Clinton Martinengo, James Smith",Nic Good,Robert Breyer,https://image.tmdb.org/t/p/w500/9x3lN1Ha99YxwaIrIlGdsAclTOV.jpg,https://www.youtube.com/watch?v=vQth068ct-4
