"id","title","release_date","runtime","vote_count","vote_average","overview","genres","production_companies","production_countries","cast","directors","poster_url","trailer_url"
"755899","The Opium Eater","2010-12-10","93","1","10.0","A coat-and-tie-wearing social worker scours the countryside in search of wild opium poppies.","Drama","Poppies Production, Poppies Productions","United States of America","David Bertelsen, Leah McCormick, Brian Oblak, Marina Pincus, Alex Wicks, Sydney Sweeney, William Michael Paul, Sean Davis, Mike Roland, Ian Destefano","David Bertelsen","https://image.tmdb.org/t/p/w500/yBKexc6VQrD9HqgfLb5a31jx3JW.jpg","https://www.youtube.com/watch?v=gPVj9wAtsOU"
"712603","Conceiving and Creating the Hellboy Movie Poster Art","2010-06-14","98","1","10.0","For the first time, Drew Struzan opens his studio and welcomes us in. This is the only footage shot that shows his entire process, the same techniques he used to create some of his most iconic posters including: Indiana Jones, Star Wars, Back To The Future, Harry Potter, Walking Dead, and so many more. See him actually working, conceiving, drawing, and painting the original movie poster art for HELLBOY. The master reveals all. Hear him explain how, why, and what he is thinking all along the way.","Documentary","Reel Ideas","United States of America","Drew Struzan","Jim Sanders","https://image.tmdb.org/t/p/w500/1251XxKrKyU9u2QjiZNoQmeNUKB.jpg","https://www.youtube.com/watch?v=Cf-xlYvR1CY"
"489396","Beyond the Silence of the Sea","2010-02-17","0","3","10.0","The documentary covers the entire maritime sector, its significance and contribution in the development in a country. Evergreen Media traveled from Karachi to Gadani, to Ormara to Gawadar ports, life of Creeks area, Fisheries, Shipyards, boarded the national flag carriers and landed at naval combat ships.  The voyage unfolds the simple and straightforward steps to the prosperity of several nations. The marine sector plays a vital role in the economy of a country though it is seldom visible in everyday life and thus continues to be undervalued. Maritime activities are essential to trade and prosperity. They underpin our quality of life by facilitating the safe, reliable and low cost movement of foodstuffs, consumer goods and raw materials.","Documentary","Evergreen Media Europe","United Kingdom","Cdre Azhar, Cdre Azhar, Noman Bashir, Cdre M. Hisham, Qaiser Iqbal, Syed Zafar Ali, Usman Ghani, Nasreen Haque, Kabir Kanhi, Karim Khan","Kamran Qureshi, Dr Iram Qureshi","https://image.tmdb.org/t/p/w500/iKxqLs182CUJNqvdfT0eHrjc5tH.jpg","https://www.youtube.com/watch?v=TYlDXlyb13k"
"269640","To Die is Hard","2010-01-01","87","1","10.0","When a gang of terrorists invade a campus building, it's up to English professor Joe McCann to save the day.","Comedy, Action","Driving With Our Eyes Shut","United States of America","Glenn Berggoetz, Baird Lefter, Lauren von Engeln, Greg Nemer, Will Beckingham, Haidyn Janae Harvey, Stephanie Van Gels, Ashley Henkle, Lauren Yormack, Eileen Barker","Glenn Berggoetz","https://image.tmdb.org/t/p/w500/lnd4V9gaGW6T5ONDc60sS48qtmo.jpg","https://www.youtube.com/watch?v=8EcvbDFL7QU"
"89880","Bonsai People: The Vision of Muhammad Yunus","2010-01-01","79","1","10.0","Bonsai People is a feature length documentary film that explores the work of Nobel Peace Prize winner  Muhammad Yunus and his vision from microcredit to social business","Documentary, Drama","Hummingbird Pictures","United States of America, Bangladesh","Muhammad Yunus","Holly Mosher","https://image.tmdb.org/t/p/w500/AmFwfXo8203w1ph86Ko0p3Bsylz.jpg","https://www.youtube.com/watch?v=PwLjb63q3Yk"
"40240","Perfect Combination","2010-05-04","92","1","10.0","This is the story of a fairly successful young black man, just shy of 30 years old, who decided he needs to be less of a workaholic and meet and date women, with marriage and family as a goal.","Comedy, Romance","Tri Destined Independent","United States of America","Angell Conwell, Debra Wilson, Kareem J. Grimes, Shillae Anderson, Dawn Richard, Christian Keyes, Tiffany Hines, Johnny Gill, Chico Benymon, Ayo Sorrells","Trey Haley","https://image.tmdb.org/t/p/w500/vWupx5c9Xc5kocoLKJewxCJus9k.jpg","https://www.youtube.com/watch?v=jgnUJ-VOY4Y"
"316157","Frankenstein Rising","2010-04-20","95","2","9.5","A modern day descendent of Frankenstein becomes obsessed with his ancestor's work and seeks to replicate them and create a living man from lifeless tissue.","Horror","Sterling Entertainment","United States of America","Domiziano Arcangeli, Anita Page, Shevaun Kastl, Andrew Crandall, Randal Malone, Margaret O'Brien, Jerry Maren","Eric Swelstad","https://image.tmdb.org/t/p/w500/wT3L23ijUNyHx08zE6ZIJpZHe9v.jpg","https://www.youtube.com/watch?v=HePg1_Ag7JI"
"1352389","SnowBikeMike Goes Big","2010-02-09","0","1","9.0","SnowBikeMike Goes Big is an exhilarating ride through the rise of one of the most unexpected action sports icons of the decade.  SnowBikeMike, a once-unknown snow biker, captured the world's attentior with his audacious stunts and boundless charisma. The film chronicles his journey from local competitions to dominating international stages, showcasing how his fearless approach and innovative techniques are pushing the boundaries of the snowbike sport.  With his growing fame, SnowBikeMike is not only elevating his own career but also bringing snowbiking into the mainstream, inspiring a new generation of fans and athletes. His meteoric rise is proving that with grit and passion, even the coldest terrains can lead to the hottest successes.","Drama, Action, Comedy, Romance","DumpyAssGrapes","United States of America","Mike Howard","Joe Ginger Washburn","https://image.tmdb.org/t/p/w500/q13pnqIP2BcAH1btXo2SP84Tcgw.jpg","https://www.youtube.com/watch?v=TiDdTC0q0o0"
"288166","UnAuthorized","2010-03-26","90","1","9.0","""Des-authorized"" is the combination of three stories, three realities that coexist and feed. The journey begins in the imagination of Elia K, the principal, who imagines Elijah, a character who is a poor playwright facing the crossroads to be true to his art, or succumb to the pressures of the producers must decide his work between surrender or pay the price of his freedom. On another level, we have Nina and Frederick, the protagonists of the work that Elijah is writing. They only seek to love, they are forced to leave the paper and press the Elijah to them the end that his story deserves, this is the starting point of ""Des-authorized"" a film set in an imaginary city , colorful and delusional. In the line of ""Amelie"" and ""Stranger Than Fiction"", brings a reflection on art, creativity, love and heartbreak.","Drama, Romance, Fantasy","Joel Films, Centro Nacional Autónomo de Cinematografía (CNAC)","Venezuela","Erich Wildpret, Albi De Abreu, Samantha Dagnino, Juan Carlos Alarcón, Dad Dager, Rafael Uribe, Paul Gámez, Ernesto Ceballos, José M. Peña, Rolando Hernández","Elia Schneider","https://image.tmdb.org/t/p/w500/aArY7KRU3RrSLPKB1APr2ij3zms.jpg","https://www.youtube.com/watch?v=_VewJ6VR06k"
"65411","March of The Living","2010-09-24","76","4","8.8","The moving story of the last generation of Holocaust survivors who travel to Poland with thousands of teenagers from around the world to retrace the Death March from Auschwitz to Birkenau.","Documentary","Latinamerica Entretenimento, Conspiração Filmes, Filmland Internacional","Brazil, United States of America","Elika Rezvani","Jessica Sanders","https://image.tmdb.org/t/p/w500/p51SVWZZZEWpLPKejjXapjT7VY3.jpg","https://www.youtube.com/watch?v=15229383"
